NOM,NUMERO,SHAPE_LEN
Saconnex-d'Arve - Dessous,"3300119",2951.23029349000
Le Grand-Morillon,"2132012",2594.92898751000
Le Foron,"4000031",2505.62337392000
Nant des Crues,"0900010",5342.61353942000
Evaux,"3100020",2424.87562409000
Longemalle,"0900030",4763.94241114000
Mouille-Galand,"4300180",3614.47844402000
Narly - Lécherette,"1800041",4855.94540665000
Ravières,"0500010",4282.20173450000
Vallon de l'Allondon,"2000050",12160.22169830000
Pinchat - La-Tambourine,"0800080",2140.87911421000
Cheneviers,"0100029",3754.76340177000
La Petite-Grave,"0900040",3237.54581832000
Les Cropettes,"2103040",1702.62354450000
Boucle-de-Conches,"1200010",4415.30217901000
Lancy - Saint-Georges,"2800020",2465.17480799000
Parc des Acacias,"2114040",1549.48807354000
Pâquis - Môle,"2104012",856.14908832700
Octroi,"0800030",1280.35184548000
Les Savoises,"2113030",1302.52987463000
La Croix-de-Rozon,"0500040",4233.35149276000
Rigaud - Montagne,"1200080",2437.78251141000
Le Prieuré,"2131030",1474.93769378000
Villereuse,"2121060",1670.70412948000
De-ROCHES,"2122020",1591.92841679000
Augustins,"2112022",1702.52729720000
Champel,"2111111",1135.61742457000
Les Minoteries,"2112032",1388.41178802000
DANCET,"2112031",1107.33840793000
Du-BOIS-MELLY,"2113050",1396.25786100000
Hollande,"2101010",1473.30222937000
Corsier - village,"1900020",2704.88941729000
La Renfile,"3500040",6752.40753989000
Troinex - Dessous,"4100012",2529.81022890000
Sous-Moulin - Les Verchères,"4000071",2324.64041440000
Aïre - Renard,"4300102",3595.15592141000
Choulex,"1400040",4375.41149152000
Surpierre,"0500030",3918.79110070000
Pesay,"3600020",5306.41634845000
Petit-Senn - Floraire,"1300020",1844.71029855000
Pierre-à-Bochet,"4000032",2592.64561380000
Ch. de la Verseuse,"4300110",2518.97014733000
Challoux,"0700120",7591.79625291000
Maisonneuves,"1900040",3604.70386939000
Veyrier - village,"4500040",3078.63524421000
Troinex - village,"4100011",4145.08870582000
La Grenouillère,"2700020",7396.58821287000
Corsinge,"2900040",6232.51908127000
Grange-Falquet,"1200070",3652.60546835000
